name,pos,snap_total,snap_percent,team,opp,week
Jimmy Garoppolo,QB,66,0.99,SF,CAR,5
George Kittle,TE,59,0.88,SF,CAR,5
Brandon Aiyuk,WR,58,0.87,SF,CAR,5
Deebo Samuel,WR,53,0.79,SF,CAR,5
Jeff Wilson,RB,39,0.58,SF,CAR,5
Charlie Woerner,TE,24,0.36,SF,CAR,5
Tevin Coleman,RB,19,0.28,SF,CAR,5
Ray-Ray McCloud,WR,18,0.27,SF,CAR,5
Jauan Jennings,WR,15,0.22,SF,CAR,5
Danny Gray,WR,7,0.1,SF,CAR,5
Ross Dwelley,TE,4,0.06,SF,CAR,5
Jordan Mason,RB,1,0.01,SF,CAR,5
Brock Purdy,QB,1,0.01,SF,CAR,5
Malik Turner,WR,0,0.0,SF,CAR,5
