name,pos,snap_total,snap_percent,team,opp,week
Brandon Aiyuk,WR,74,0.94,SF,KC,7
George Kittle,TE,70,0.89,SF,KC,7
Jimmy Garoppolo,QB,69,0.87,SF,KC,7
Deebo Samuel,WR,68,0.86,SF,KC,7
Jauan Jennings,WR,32,0.41,SF,KC,7
Jeff Wilson,RB,26,0.33,SF,KC,7
Christian McCaffrey,RB,23,0.29,SF,KC,7
Ray-Ray McCloud,WR,20,0.25,SF,KC,7
Tyrion Davis-Price,RB,13,0.16,SF,KC,7
Charlie Woerner,TE,12,0.15,SF,KC,7
Ross Dwelley,TE,11,0.14,SF,KC,7
Brock Purdy,QB,10,0.13,SF,KC,7
Danny Gray,WR,8,0.1,SF,KC,7
Tevin Coleman,RB,0,0.0,SF,KC,7
