name,pos,snap_total,snap_percent,team,opp,week
Jaylen Waddle,WR,62,0.79,MIA,MIN,6
Tyreek Hill,WR,60,0.77,MIA,MIN,6
Teddy Bridgewater,QB,54,0.69,MIA,MIN,6
Trent Sherfield,WR,52,0.67,MIA,MIN,6
Mike Gesicki,TE,50,0.64,MIA,MIN,6
Raheem Mostert,RB,48,0.62,MIA,MIN,6
Chase Edmonds,RB,31,0.4,MIA,MIN,6
Skylar Thompson,QB,24,0.31,MIA,MIN,6
Hunter Long,TE,21,0.27,MIA,MIN,6
River Cracraft,WR,17,0.22,MIA,MIN,6
Cedrick Wilson,WR,15,0.19,MIA,MIN,6
Tanner Conner,WR,8,0.1,MIA,MIN,6
Salvon Ahmed,RB,0,0.0,MIA,MIN,6
