name,pos,snap_total,snap_percent,team,opp,week
Daniel Jones,QB,76,1.0,NYG,DET,11
Darius Slayton,WR,66,0.87,NYG,DET,11
Saquon Barkley,RB,58,0.76,NYG,DET,11
Lawrence Cager,TE,56,0.74,NYG,DET,11
Wan'Dale Robinson,WR,55,0.72,NYG,DET,11
Isaiah Hodgins,WR,45,0.59,NYG,DET,11
Kenny Golladay,WR,33,0.43,NYG,DET,11
Richie James,WR,17,0.22,NYG,DET,11
Matt Breida,RB,15,0.2,NYG,DET,11
Tanner Hudson,TE,12,0.16,NYG,DET,11
Chris Myarick,TE,8,0.11,NYG,DET,11
Gary Brightwell,RB,7,0.09,NYG,DET,11
Marcus Johnson,WR,4,0.05,NYG,DET,11
