name,pos,snap_total,snap_percent,team,opp,week
Patrick Mahomes,QB,100,1.0,KC,TEN,9
Travis Kelce,TE,83,0.83,KC,TEN,9
JuJu Smith-Schuster,WR,83,0.83,KC,TEN,9
Marquez Valdes-Scantling,WR,71,0.71,KC,TEN,9
Jerick McKinnon,RB,62,0.62,KC,TEN,9
Mecole Hardman,WR,54,0.54,KC,TEN,9
Noah Gray,TE,40,0.4,KC,TEN,9
Justin Watson,WR,26,0.26,KC,TEN,9
Skyy Moore,WR,26,0.26,KC,TEN,9
Isiah Pacheco,RB,22,0.22,KC,TEN,9
Clyde Edwards-Helaire,RB,17,0.17,KC,TEN,9
Kadarius Toney,WR,9,0.09,KC,TEN,9
Marcus Kemp,WR,0,0.0,KC,TEN,9
