name,pos,snap_total,snap_percent,team,opp,week
Jimmy Garoppolo,QB,51,0.88,SF,ARI,11
Brandon Aiyuk,WR,46,0.79,SF,ARI,11
George Kittle,TE,43,0.74,SF,ARI,11
Christian McCaffrey,RB,38,0.66,SF,ARI,11
Deebo Samuel,WR,34,0.59,SF,ARI,11
Tyler Kroft,TE,27,0.47,SF,ARI,11
Jauan Jennings,WR,22,0.38,SF,ARI,11
Elijah Mitchell,RB,13,0.22,SF,ARI,11
Charlie Woerner,TE,11,0.19,SF,ARI,11
Danny Gray,WR,10,0.17,SF,ARI,11
Ray-Ray McCloud,WR,8,0.14,SF,ARI,11
Jordan Mason,RB,7,0.12,SF,ARI,11
Brock Purdy,QB,7,0.12,SF,ARI,11
Ross Dwelley,TE,4,0.07,SF,ARI,11
