name,pos,snap_total,snap_percent,team,opp,week
Russell Wilson,QB,73,1.0,DEN,IND,5
Courtland Sutton,WR,68,0.93,DEN,IND,5
Jerry Jeudy,WR,61,0.84,DEN,IND,5
Eric Saubert,TE,41,0.56,DEN,IND,5
Melvin Gordon,RB,41,0.56,DEN,IND,5
KJ Hamler,WR,39,0.53,DEN,IND,5
Eric Tomlinson,TE,35,0.48,DEN,IND,5
Mike Boone,RB,30,0.41,DEN,IND,5
Andrew Beck,TE,19,0.26,DEN,IND,5
Albert Okwuegbunam,TE,15,0.21,DEN,IND,5
Tyrie Cleveland,WR,10,0.14,DEN,IND,5
Montrell Washington,WR,4,0.05,DEN,IND,5
Devine Ozigbo,RB,2,0.03,DEN,IND,5
