name,pos,snap_total,snap_percent,team,opp,week
Aaron Rodgers,QB,56,0.89,GB,MIN,17
Allen Lazard,WR,45,0.71,GB,MIN,17
Robert Tonyan,TE,39,0.62,GB,MIN,17
Christian Watson,WR,38,0.6,GB,MIN,17
Romeo Doubs,WR,31,0.49,GB,MIN,17
Randall Cobb,WR,29,0.46,GB,MIN,17
AJ Dillon,RB,29,0.46,GB,MIN,17
Aaron Jones,RB,25,0.4,GB,MIN,17
Josiah Deguara,TE,23,0.37,GB,MIN,17
Marcedes Lewis,TE,23,0.37,GB,MIN,17
Patrick Taylor,RB,12,0.19,GB,MIN,17
Samori Toure,WR,11,0.17,GB,MIN,17
Tyler Davis,TE,10,0.16,GB,MIN,17
Jordan Love,QB,7,0.11,GB,MIN,17
