name,pos,snap_total,snap_percent,team,opp,week
Daniel Bellinger,TE,56,0.89,NYG,IND,17
Daniel Jones,QB,55,0.87,NYG,IND,17
Darius Slayton,WR,52,0.83,NYG,IND,17
Isaiah Hodgins,WR,51,0.81,NYG,IND,17
Richie James,WR,50,0.79,NYG,IND,17
Saquon Barkley,RB,50,0.79,NYG,IND,17
Nick Vannett,TE,15,0.24,NYG,IND,17
Matt Breida,RB,12,0.19,NYG,IND,17
Marcus Johnson,WR,11,0.17,NYG,IND,17
Tyrod Taylor,QB,8,0.13,NYG,IND,17
Kenny Golladay,WR,7,0.11,NYG,IND,17
Chris Myarick,TE,6,0.1,NYG,IND,17
Gary Brightwell,RB,5,0.08,NYG,IND,17
