name,pos,snap_total,snap_percent,team,opp,week
Davis Mills,QB,59,1.0,HOU,CHI,3
Brandin Cooks,WR,51,0.86,HOU,CHI,3
Pharaoh Brown,TE,48,0.81,HOU,CHI,3
Nico Collins,WR,40,0.68,HOU,CHI,3
Dameon Pierce,RB,35,0.59,HOU,CHI,3
Chris Moore,WR,31,0.53,HOU,CHI,3
Rex Burkhead,RB,24,0.41,HOU,CHI,3
OJ Howard,TE,18,0.31,HOU,CHI,3
Jordan Akins,TE,17,0.29,HOU,CHI,3
Phillip Dorsett,WR,13,0.22,HOU,CHI,3
Dare Ogunbowale,RB,0,0.0,HOU,CHI,3
