name,pos,snap_total,snap_percent,team,opp,week
Keenan Allen,WR,54,0.84,LAC,LAR,17
Justin Herbert,QB,51,0.8,LAC,LAR,17
Mike Williams,WR,50,0.78,LAC,LAR,17
Josh Palmer,WR,37,0.58,LAC,LAR,17
Gerald Everett,TE,36,0.56,LAC,LAR,17
Tre' McKitty,TE,30,0.47,LAC,LAR,17
Austin Ekeler,RB,28,0.44,LAC,LAR,17
Donald Parham,TE,26,0.41,LAC,LAR,17
Joshua Kelley,RB,23,0.36,LAC,LAR,17
Larry Rountree,RB,13,0.2,LAC,LAR,17
DeAndre Carter,WR,13,0.2,LAC,LAR,17
Chase Daniel,QB,13,0.2,LAC,LAR,17
Stone Smartt,TE,10,0.16,LAC,LAR,17
