name,pos,snap_total,snap_percent,team,opp,week
Cole Kmet,TE,59,1.0,CHI,PHI,15
Justin Fields,QB,58,0.98,CHI,PHI,15
Byron Pringle,WR,53,0.9,CHI,PHI,15
Dante Pettis,WR,47,0.8,CHI,PHI,15
Velus Jones,WR,40,0.68,CHI,PHI,15
David Montgomery,RB,40,0.68,CHI,PHI,15
Darrynton Evans,RB,16,0.27,CHI,PHI,15
Ryan Griffin,TE,15,0.25,CHI,PHI,15
Nsimba Webster,WR,10,0.17,CHI,PHI,15
Trestan Ebner,RB,5,0.08,CHI,PHI,15
Equanimeous St,WR,3,0.05,CHI,PHI,15
Nathan Peterman,QB,1,0.02,CHI,PHI,15
Jake Tonges,TE,0,0.0,CHI,PHI,15
