name,pos,snap_total,snap_percent,team,opp,week
Devin Duvernay,WR,68,0.94,BAL,DEN,13
Tyler Huntley,QB,62,0.86,BAL,DEN,13
Mark Andrews,TE,61,0.85,BAL,DEN,13
Demarcus Robinson,WR,55,0.76,BAL,DEN,13
Kenyan Drake,RB,34,0.47,BAL,DEN,13
DeSean Jackson,WR,25,0.35,BAL,DEN,13
Josh Oliver,TE,24,0.33,BAL,DEN,13
Isaiah Likely,TE,19,0.26,BAL,DEN,13
Justice Hill,RB,17,0.24,BAL,DEN,13
Gus Edwards,RB,17,0.24,BAL,DEN,13
James Proche,WR,13,0.18,BAL,DEN,13
Lamar Jackson,QB,10,0.14,BAL,DEN,13
Binjimen Victor,WR,1,0.01,BAL,DEN,13
Nick Boyle,TE,0,0.0,BAL,DEN,13
