name,pos,snap_total,snap_percent,team,opp,week
Joe Burrow,QB,70,1.0,CIN,TEN,12
Tee Higgins,WR,58,0.83,CIN,TEN,12
Samaje Perine,RB,56,0.8,CIN,TEN,12
Tyler Boyd,WR,53,0.76,CIN,TEN,12
Trenton Irwin,WR,52,0.74,CIN,TEN,12
Hayden Hurst,TE,46,0.66,CIN,TEN,12
Mitchell Wilcox,TE,25,0.36,CIN,TEN,12
Trayveon Williams,RB,14,0.2,CIN,TEN,12
Devin Asiasi,TE,14,0.2,CIN,TEN,12
Trent Taylor,WR,11,0.16,CIN,TEN,12
Kwamie Lassiter,WR,8,0.11,CIN,TEN,12
Stanley Morgan,WR,5,0.07,CIN,TEN,12
Chris Evans,RB,4,0.06,CIN,TEN,12
