name,pos,snap_total,snap_percent,team,opp,week
Nick Westbrook-Ikhine,WR,52,0.95,TEN,PHI,13
Robert Woods,WR,51,0.93,TEN,PHI,13
Ryan Tannehill,QB,45,0.82,TEN,PHI,13
Chigoziem Okonkwo,TE,32,0.58,TEN,PHI,13
Derrick Henry,RB,30,0.55,TEN,PHI,13
Austin Hooper,TE,27,0.49,TEN,PHI,13
Dontrell Hilliard,RB,20,0.36,TEN,PHI,13
Geoff Swaim,TE,20,0.36,TEN,PHI,13
CJ Board,WR,16,0.29,TEN,PHI,13
Kevin Rader,TE,10,0.18,TEN,PHI,13
Treylon Burks,WR,10,0.18,TEN,PHI,13
Malik Willis,QB,10,0.18,TEN,PHI,13
Julius Chestnut,RB,7,0.13,TEN,PHI,13
