name,pos,snap_total,snap_percent,team,opp,week
Jacoby Brissett,QB,72,1.0,CLE,CIN,8
Donovan Peoples-Jones,WR,69,0.96,CLE,CIN,8
Amari Cooper,WR,57,0.79,CLE,CIN,8
Harrison Bryant,TE,53,0.74,CLE,CIN,8
Nick Chubb,RB,37,0.51,CLE,CIN,8
David Bell,WR,34,0.47,CLE,CIN,8
Kareem Hunt,RB,33,0.46,CLE,CIN,8
Pharaoh Brown,TE,25,0.35,CLE,CIN,8
Michael Woods,WR,12,0.17,CLE,CIN,8
D'Ernest Johnson,RB,8,0.11,CLE,CIN,8
Miller Forristall,TE,2,0.03,CLE,CIN,8
Anthony Schwartz,WR,0,0.0,CLE,CIN,8
Demetric Felton,RB,0,0.0,CLE,CIN,8
