name,pos,snap_total,snap_percent,team,opp,week
Tyreek Hill,WR,58,0.82,MIA,NE,17
Jaylen Waddle,WR,54,0.76,MIA,NE,17
Jeff Wilson,RB,46,0.65,MIA,NE,17
Teddy Bridgewater,QB,44,0.62,MIA,NE,17
Durham Smythe,TE,42,0.59,MIA,NE,17
Trent Sherfield,WR,42,0.59,MIA,NE,17
Raheem Mostert,RB,30,0.42,MIA,NE,17
Mike Gesicki,TE,30,0.42,MIA,NE,17
Skylar Thompson,QB,27,0.38,MIA,NE,17
River Cracraft,WR,17,0.24,MIA,NE,17
Hunter Long,TE,12,0.17,MIA,NE,17
Cedrick Wilson,WR,11,0.15,MIA,NE,17
Salvon Ahmed,RB,2,0.03,MIA,NE,17
