name,pos,snap_total,snap_percent,team,opp,week
Joe Burrow,QB,58,0.78,CIN,CAR,9
Tyler Boyd,WR,49,0.66,CIN,CAR,9
Joe Mixon,RB,48,0.65,CIN,CAR,9
Tee Higgins,WR,46,0.62,CIN,CAR,9
Mitchell Wilcox,TE,40,0.54,CIN,CAR,9
Trenton Irwin,WR,36,0.49,CIN,CAR,9
Hayden Hurst,TE,34,0.46,CIN,CAR,9
Samaje Perine,RB,27,0.36,CIN,CAR,9
Trent Taylor,WR,26,0.35,CIN,CAR,9
Devin Asiasi,TE,23,0.31,CIN,CAR,9
Mike Thomas,WR,22,0.3,CIN,CAR,9
Brandon Allen,QB,16,0.22,CIN,CAR,9
Stanley Morgan,WR,10,0.14,CIN,CAR,9
Chris Evans,RB,1,0.01,CIN,CAR,9
