name,pos,snap_total,snap_percent,team,opp,week
Jalen Hurts,QB,63,0.93,PHI,NYG,14
DeVonta Smith,WR,62,0.91,PHI,NYG,14
AJ Brown,WR,58,0.85,PHI,NYG,14
Jack Stoll,TE,47,0.69,PHI,NYG,14
Miles Sanders,RB,45,0.66,PHI,NYG,14
Grant Calcaterra,TE,39,0.57,PHI,NYG,14
Quez Watkins,WR,32,0.47,PHI,NYG,14
Zach Pascal,WR,19,0.28,PHI,NYG,14
Boston Scott,RB,12,0.18,PHI,NYG,14
Kenneth Gainwell,RB,12,0.18,PHI,NYG,14
Tyree Jackson,TE,9,0.13,PHI,NYG,14
Britain Covey,WR,5,0.07,PHI,NYG,14
Gardner Minshew,QB,5,0.07,PHI,NYG,14
