name,pos,snap_total,snap_percent,team,opp,week
Christian Kirk,WR,52,0.83,JAX,HOU,17
Zay Jones,WR,49,0.78,JAX,HOU,17
Trevor Lawrence,QB,44,0.7,JAX,HOU,17
Evan Engram,TE,42,0.67,JAX,HOU,17
Marvin Jones,WR,42,0.67,JAX,HOU,17
Jamycal Hasty,RB,25,0.4,JAX,HOU,17
Travis Etienne,RB,24,0.38,JAX,HOU,17
Chris Manhertz,TE,19,0.3,JAX,HOU,17
CJ Beathard,QB,19,0.3,JAX,HOU,17
Jamal Agnew,WR,17,0.27,JAX,HOU,17
Dan Arnold,TE,14,0.22,JAX,HOU,17
Snoop Conner,RB,11,0.17,JAX,HOU,17
Tim Jones,WR,10,0.16,JAX,HOU,17
Luke Farrell,TE,10,0.16,JAX,HOU,17
