name,pos,snap_total,snap_percent,team,opp,week
Sam Darnold,QB,59,1.0,CAR,NO,18
Terrace Marshall,WR,55,0.93,CAR,NO,18
DJ Moore,WR,54,0.92,CAR,NO,18
Chuba Hubbard,RB,41,0.69,CAR,NO,18
Ian Thomas,TE,34,0.58,CAR,NO,18
Shi Smith,WR,30,0.51,CAR,NO,18
Tommy Tremble,TE,29,0.49,CAR,NO,18
Laviska Shenault,WR,17,0.29,CAR,NO,18
D'Onta Foreman,RB,15,0.25,CAR,NO,18
Stephen Sullivan,TE,9,0.15,CAR,NO,18
Giovanni Ricci,TE,3,0.05,CAR,NO,18
Raheem Blackshear,RB,3,0.05,CAR,NO,18
Preston Williams,WR,2,0.03,CAR,NO,18
Andre Roberts,WR,0,0.0,CAR,NO,18
