name,pos,snap_total,snap_percent,team,opp,week
Ryan Tannehill,QB,54,1.0,TEN,IND,4
Robert Woods,WR,41,0.76,TEN,IND,4
Geoff Swaim,TE,40,0.74,TEN,IND,4
Derrick Henry,RB,37,0.69,TEN,IND,4
Treylon Burks,WR,35,0.65,TEN,IND,4
Nick Westbrook-Ikhine,WR,35,0.65,TEN,IND,4
Austin Hooper,TE,20,0.37,TEN,IND,4
Dontrell Hilliard,RB,17,0.31,TEN,IND,4
Chigoziem Okonkwo,TE,13,0.24,TEN,IND,4
Cody Hollister,WR,11,0.2,TEN,IND,4
Kevin Rader,TE,7,0.13,TEN,IND,4
Kyle Philips,WR,2,0.04,TEN,IND,4
Hassan Haskins,RB,0,0.0,TEN,IND,4
