name,pos,snap_total,snap_percent,team,opp,week
Diontae Johnson,WR,57,0.89,PIT,NYJ,4
Najee Harris,RB,48,0.75,PIT,NYJ,4
Chase Claypool,WR,47,0.73,PIT,NYJ,4
Pat Freiermuth,TE,47,0.73,PIT,NYJ,4
George Pickens,WR,45,0.7,PIT,NYJ,4
Zach Gentry,TE,39,0.61,PIT,NYJ,4
Mitchell Trubisky,QB,33,0.52,PIT,NYJ,4
Kenny Pickett,QB,31,0.48,PIT,NYJ,4
Jaylen Warren,RB,16,0.25,PIT,NYJ,4
Gunner Olszewski,WR,9,0.14,PIT,NYJ,4
Miles Boykin,WR,5,0.08,PIT,NYJ,4
Connor Heyward,TE,1,0.02,PIT,NYJ,4
Benny Snell,RB,0,0.0,PIT,NYJ,4
