name,pos,snap_total,snap_percent,team,opp,week
Ryan Tannehill,QB,64,1.0,TEN,WAS,5
Nick Westbrook-Ikhine,WR,59,0.92,TEN,WAS,5
Robert Woods,WR,54,0.84,TEN,WAS,5
Geoff Swaim,TE,42,0.66,TEN,WAS,5
Derrick Henry,RB,41,0.64,TEN,WAS,5
Austin Hooper,TE,34,0.53,TEN,WAS,5
Cody Hollister,WR,20,0.31,TEN,WAS,5
Dontrell Hilliard,RB,20,0.31,TEN,WAS,5
Kyle Philips,WR,18,0.28,TEN,WAS,5
Chigoziem Okonkwo,TE,13,0.2,TEN,WAS,5
Kevin Rader,TE,5,0.08,TEN,WAS,5
Dez Fitzpatrick,WR,5,0.08,TEN,WAS,5
Hassan Haskins,RB,2,0.03,TEN,WAS,5
