name,pos,snap_total,snap_percent,team,opp,week
Russell Wilson,QB,72,1.0,DEN,HOU,2
Courtland Sutton,WR,66,0.92,DEN,HOU,2
Kendall Hinton,WR,55,0.76,DEN,HOU,2
Javonte Williams,RB,47,0.65,DEN,HOU,2
Albert Okwuegbunam,TE,38,0.53,DEN,HOU,2
Tyrie Cleveland,WR,31,0.43,DEN,HOU,2
Eric Saubert,TE,26,0.36,DEN,HOU,2
Eric Tomlinson,TE,24,0.33,DEN,HOU,2
Melvin Gordon,RB,23,0.32,DEN,HOU,2
Andrew Beck,TE,21,0.29,DEN,HOU,2
Montrell Washington,WR,12,0.17,DEN,HOU,2
Jerry Jeudy,WR,10,0.14,DEN,HOU,2
Mike Boone,RB,7,0.1,DEN,HOU,2
