name,pos,snap_total,snap_percent,team,opp,week
Deven Thompkins,WR,46,0.84,TB,ATL,18
Breshad Perriman,WR,32,0.58,TB,ATL,18
Tom Brady,QB,31,0.56,TB,ATL,18
Russell Gage,WR,30,0.55,TB,ATL,18
Cameron Brate,TE,27,0.49,TB,ATL,18
Chris Godwin,WR,26,0.47,TB,ATL,18
Giovani Bernard,RB,25,0.45,TB,ATL,18
Scott Miller,WR,21,0.38,TB,ATL,18
Cade Otton,TE,19,0.35,TB,ATL,18
Ke'Shawn Vaughn,RB,16,0.29,TB,ATL,18
Blaine Gabbert,QB,14,0.25,TB,ATL,18
Kyle Rudolph,TE,11,0.2,TB,ATL,18
Rachaad White,RB,10,0.18,TB,ATL,18
Kyle Trask,QB,10,0.18,TB,ATL,18
Ko Kieft,TE,9,0.16,TB,ATL,18
Leonard Fournette,RB,3,0.05,TB,ATL,18
