name,pos,snap_total,snap_percent,team,opp,week
Baker Mayfield,QB,52,1.0,CAR,ARI,4
Robbie Chosen,WR,50,0.96,CAR,ARI,4
DJ Moore,WR,50,0.96,CAR,ARI,4
Christian McCaffrey,RB,45,0.87,CAR,ARI,4
Shi Smith,WR,39,0.75,CAR,ARI,4
Giovanni Ricci,TE,24,0.46,CAR,ARI,4
Tommy Tremble,TE,22,0.42,CAR,ARI,4
Ian Thomas,TE,15,0.29,CAR,ARI,4
Laviska Shenault,WR,4,0.08,CAR,ARI,4
D'Onta Foreman,RB,4,0.08,CAR,ARI,4
Chuba Hubbard,RB,3,0.06,CAR,ARI,4
Rashard Higgins,WR,3,0.06,CAR,ARI,4
Stephen Sullivan,TE,1,0.02,CAR,ARI,4
