name,pos,snap_total,snap_percent,team,opp,week
Marquise Brown,WR,44,0.85,ARI,SF,18
Trey McBride,TE,43,0.83,ARI,SF,18
Corey Clement,RB,36,0.69,ARI,SF,18
Greg Dortch,WR,36,0.69,ARI,SF,18
David Blough,QB,35,0.67,ARI,SF,18
AJ Green,WR,33,0.63,ARI,SF,18
Keaontay Ingram,RB,19,0.37,ARI,SF,18
Pharoh Cooper,WR,17,0.33,ARI,SF,18
Trace McSorley,QB,17,0.33,ARI,SF,18
Maxx Williams,TE,11,0.21,ARI,SF,18
Andre Baccellia,WR,11,0.21,ARI,SF,18
Stephen Anderson,TE,8,0.15,ARI,SF,18
Ty'Son Williams,RB,2,0.04,ARI,SF,18
