name,pos,snap_total,snap_percent,team,opp,week
Taylor Heinicke,QB,83,1.0,WAS,PHI,10
Terry McLaurin,WR,71,0.86,WAS,PHI,10
Logan Thomas,TE,61,0.73,WAS,PHI,10
Curtis Samuel,WR,53,0.64,WAS,PHI,10
Brian Robinson,RB,43,0.52,WAS,PHI,10
John Bates,TE,41,0.49,WAS,PHI,10
Antonio Gibson,RB,40,0.48,WAS,PHI,10
Jahan Dotson,WR,34,0.41,WAS,PHI,10
Cam Sims,WR,27,0.33,WAS,PHI,10
Armani Rogers,TE,21,0.25,WAS,PHI,10
Dyami Brown,WR,16,0.19,WAS,PHI,10
Dax Milne,WR,8,0.1,WAS,PHI,10
Jaret Patterson,RB,0,0.0,WAS,PHI,10
