name,pos,snap_total,snap_percent,team,opp,week
Kyler Murray,QB,66,1.0,ARI,LAC,12
Marquise Brown,WR,64,0.97,ARI,LAC,12
James Conner,RB,64,0.97,ARI,LAC,12
Trey McBride,TE,52,0.79,ARI,LAC,12
DeAndre Hopkins,WR,49,0.74,ARI,LAC,12
AJ Green,WR,35,0.53,ARI,LAC,12
Robbie Chosen,WR,28,0.42,ARI,LAC,12
Maxx Williams,TE,17,0.26,ARI,LAC,12
Stephen Anderson,TE,12,0.18,ARI,LAC,12
Keaontay Ingram,RB,7,0.11,ARI,LAC,12
Corey Clement,RB,1,0.02,ARI,LAC,12
Andre Baccellia,WR,1,0.02,ARI,LAC,12
Pharoh Cooper,WR,0,0.0,ARI,LAC,12
