name,pos,snap_total,snap_percent,team,opp,week
Dak Prescott,QB,61,0.91,DAL,WAS,18
Michael Gallup,WR,60,0.9,DAL,WAS,18
CeeDee Lamb,WR,58,0.87,DAL,WAS,18
Dalton Schultz,TE,58,0.87,DAL,WAS,18
Noah Brown,WR,44,0.66,DAL,WAS,18
Ezekiel Elliott,RB,32,0.48,DAL,WAS,18
Tony Pollard,RB,29,0.43,DAL,WAS,18
TY Hilton,WR,26,0.39,DAL,WAS,18
Jake Ferguson,TE,14,0.21,DAL,WAS,18
Malik Davis,RB,6,0.09,DAL,WAS,18
Cooper Rush,QB,6,0.09,DAL,WAS,18
Sean McKeon,TE,5,0.07,DAL,WAS,18
Peyton Hendershot,TE,3,0.04,DAL,WAS,18
KaVontae Turpin,WR,0,0.0,DAL,WAS,18
