name,pos,snap_total,snap_percent,team,opp,week
Cam Akers,RB,61,1.0,LAR,SEA,18
Baker Mayfield,QB,61,1.0,LAR,SEA,18
Van Jefferson,WR,59,0.97,LAR,SEA,18
Tutu Atwell,WR,57,0.93,LAR,SEA,18
Tyler Higbee,TE,54,0.89,LAR,SEA,18
Brandon Powell,WR,49,0.8,LAR,SEA,18
Brycen Hopkins,TE,15,0.25,LAR,SEA,18
Austin Trammell,WR,7,0.11,LAR,SEA,18
Jared Pinkney,TE,2,0.03,LAR,SEA,18
Lance McCutcheon,WR,1,0.02,LAR,SEA,18
Kyren Williams,RB,0,0.0,LAR,SEA,18
Malcolm Brown,RB,0,0.0,LAR,SEA,18
Ronnie Rivers,RB,0,0.0,LAR,SEA,18
