name,pos,snap_total,snap_percent,team,opp,week
Justin Herbert,QB,66,1.0,LAC,ARI,12
Josh Palmer,WR,63,0.95,LAC,ARI,12
Keenan Allen,WR,59,0.89,LAC,ARI,12
DeAndre Carter,WR,53,0.8,LAC,ARI,12
Austin Ekeler,RB,46,0.7,LAC,ARI,12
Gerald Everett,TE,38,0.58,LAC,ARI,12
Tre' McKitty,TE,26,0.39,LAC,ARI,12
Joshua Kelley,RB,14,0.21,LAC,ARI,12
Isaiah Spiller,RB,8,0.12,LAC,ARI,12
Zander Horvath,RB,7,0.11,LAC,ARI,12
Richard Rodgers,TE,7,0.11,LAC,ARI,12
Stone Smartt,TE,7,0.11,LAC,ARI,12
Michael Bandy,WR,2,0.03,LAC,ARI,12
