name,pos,snap_total,snap_percent,team,opp,week
Trevor Lawrence,QB,52,0.93,JAX,DET,13
Travis Etienne,RB,49,0.88,JAX,DET,13
Christian Kirk,WR,48,0.86,JAX,DET,13
Zay Jones,WR,46,0.82,JAX,DET,13
Evan Engram,TE,43,0.77,JAX,DET,13
Marvin Jones,WR,38,0.68,JAX,DET,13
Chris Manhertz,TE,15,0.27,JAX,DET,13
Tim Jones,WR,11,0.2,JAX,DET,13
Jamal Agnew,WR,9,0.16,JAX,DET,13
Dan Arnold,TE,8,0.14,JAX,DET,13
Luke Farrell,TE,6,0.11,JAX,DET,13
Snoop Conner,RB,4,0.07,JAX,DET,13
CJ Beathard,QB,4,0.07,JAX,DET,13
Jamycal Hasty,RB,3,0.05,JAX,DET,13
