name,pos,snap_total,snap_percent,team,opp,week
Trevor Lawrence,QB,69,0.96,JAX,NYJ,16
Christian Kirk,WR,58,0.81,JAX,NYJ,16
Zay Jones,WR,57,0.79,JAX,NYJ,16
Evan Engram,TE,54,0.75,JAX,NYJ,16
Travis Etienne,RB,51,0.71,JAX,NYJ,16
Chris Manhertz,TE,31,0.43,JAX,NYJ,16
Marvin Jones,WR,31,0.43,JAX,NYJ,16
Tim Jones,WR,19,0.26,JAX,NYJ,16
Jamycal Hasty,RB,18,0.25,JAX,NYJ,16
Luke Farrell,TE,13,0.18,JAX,NYJ,16
Dan Arnold,TE,13,0.18,JAX,NYJ,16
Jamal Agnew,WR,9,0.13,JAX,NYJ,16
Snoop Conner,RB,6,0.08,JAX,NYJ,16
CJ Beathard,QB,3,0.04,JAX,NYJ,16
