name,pos,snap_total,snap_percent,team,opp,week
Jacoby Brissett,QB,75,1.0,CLE,BUF,11
Donovan Peoples-Jones,WR,74,0.99,CLE,BUF,11
Amari Cooper,WR,63,0.84,CLE,BUF,11
Harrison Bryant,TE,55,0.73,CLE,BUF,11
David Bell,WR,48,0.64,CLE,BUF,11
Nick Chubb,RB,41,0.55,CLE,BUF,11
Kareem Hunt,RB,32,0.43,CLE,BUF,11
David Njoku,TE,28,0.37,CLE,BUF,11
Pharaoh Brown,TE,11,0.15,CLE,BUF,11
Anthony Schwartz,WR,8,0.11,CLE,BUF,11
Michael Woods,WR,7,0.09,CLE,BUF,11
D'Ernest Johnson,RB,0,0.0,CLE,BUF,11
Jerome Ford,RB,0,0.0,CLE,BUF,11
