name,pos,snap_total,snap_percent,team,opp,week
Desmond Ridder,QB,64,0.94,ATL,TB,18
Tyler Allgeier,RB,47,0.69,ATL,TB,18
Parker Hesse,TE,45,0.66,ATL,TB,18
Olamide Zaccheaus,WR,42,0.62,ATL,TB,18
Drake London,WR,39,0.57,ATL,TB,18
MyCole Pruitt,TE,31,0.46,ATL,TB,18
Frank Darby,WR,28,0.41,ATL,TB,18
KhaDarel Hodge,WR,20,0.29,ATL,TB,18
Damiere Byrd,WR,20,0.29,ATL,TB,18
Cordarrelle Patterson,RB,19,0.28,ATL,TB,18
Anthony Firkser,TE,16,0.24,ATL,TB,18
Josh Ali,WR,7,0.1,ATL,TB,18
Avery Williams,RB,5,0.07,ATL,TB,18
Logan Woodside,QB,4,0.06,ATL,TB,18
