name,pos,snap_total,snap_percent,team,opp,week
Matt Ryan,QB,65,1.0,IND,PHI,11
Michael Pittman,WR,64,0.98,IND,PHI,11
Parris Campbell,WR,52,0.8,IND,PHI,11
Jonathan Taylor,RB,49,0.75,IND,PHI,11
Alec Pierce,WR,46,0.71,IND,PHI,11
Mo Alie-Cox,TE,40,0.62,IND,PHI,11
Kylen Granson,TE,25,0.38,IND,PHI,11
Nikola Kalinic,TE,17,0.26,IND,PHI,11
Ashton Dulin,WR,13,0.2,IND,PHI,11
Deon Jackson,RB,13,0.2,IND,PHI,11
Zack Moss,RB,4,0.06,IND,PHI,11
Keke Coutee,WR,0,0.0,IND,PHI,11
