name,pos,snap_total,snap_percent,team,opp,week
Brock Purdy,QB,51,0.82,SF,ARI,18
Brandon Aiyuk,WR,45,0.73,SF,ARI,18
George Kittle,TE,44,0.71,SF,ARI,18
Deebo Samuel,WR,42,0.68,SF,ARI,18
Christian McCaffrey,RB,30,0.48,SF,ARI,18
Jauan Jennings,WR,26,0.42,SF,ARI,18
Tyler Kroft,TE,23,0.37,SF,ARI,18
Danny Gray,WR,17,0.27,SF,ARI,18
Jordan Mason,RB,14,0.23,SF,ARI,18
Charlie Woerner,TE,12,0.19,SF,ARI,18
Ray-Ray McCloud,WR,12,0.19,SF,ARI,18
Josh Johnson,QB,11,0.18,SF,ARI,18
Elijah Mitchell,RB,10,0.16,SF,ARI,18
Tyrion Davis-Price,RB,8,0.13,SF,ARI,18
