name,pos,snap_total,snap_percent,team,opp,week
Skylar Thompson,QB,66,0.99,MIA,NYJ,5
Jaylen Waddle,WR,51,0.76,MIA,NYJ,5
Raheem Mostert,RB,46,0.69,MIA,NYJ,5
Trent Sherfield,WR,44,0.66,MIA,NYJ,5
Tyreek Hill,WR,43,0.64,MIA,NYJ,5
Mike Gesicki,TE,36,0.54,MIA,NYJ,5
Durham Smythe,TE,33,0.49,MIA,NYJ,5
Cedrick Wilson,WR,16,0.24,MIA,NYJ,5
River Cracraft,WR,14,0.21,MIA,NYJ,5
Myles Gaskin,RB,13,0.19,MIA,NYJ,5
Chase Edmonds,RB,10,0.15,MIA,NYJ,5
Tanner Conner,WR,7,0.1,MIA,NYJ,5
Teddy Bridgewater,QB,1,0.01,MIA,NYJ,5
