name,pos,snap_total,snap_percent,team,opp,week
Aaron Rodgers,QB,68,1.0,GB,CHI,2
Allen Lazard,WR,55,0.81,GB,CHI,2
Sammy Watkins,WR,44,0.65,GB,CHI,2
Aaron Jones,RB,40,0.59,GB,CHI,2
AJ Dillon,RB,39,0.57,GB,CHI,2
Marcedes Lewis,TE,31,0.46,GB,CHI,2
Robert Tonyan,TE,27,0.4,GB,CHI,2
Romeo Doubs,WR,25,0.37,GB,CHI,2
Christian Watson,WR,22,0.32,GB,CHI,2
Tyler Davis,TE,21,0.31,GB,CHI,2
Randall Cobb,WR,20,0.29,GB,CHI,2
Josiah Deguara,TE,15,0.22,GB,CHI,2
Amari Rodgers,WR,1,0.01,GB,CHI,2
Patrick Taylor,RB,0,0.0,GB,CHI,2
