name,pos,snap_total,snap_percent,team,opp,week
Ryan Tannehill,QB,58,0.98,TEN,IND,7
Nick Westbrook-Ikhine,WR,45,0.76,TEN,IND,7
Robert Woods,WR,44,0.75,TEN,IND,7
Derrick Henry,RB,44,0.75,TEN,IND,7
Geoff Swaim,TE,37,0.63,TEN,IND,7
Chigoziem Okonkwo,TE,27,0.46,TEN,IND,7
Austin Hooper,TE,26,0.44,TEN,IND,7
Cody Hollister,WR,22,0.37,TEN,IND,7
Dontrell Hilliard,RB,17,0.29,TEN,IND,7
Kevin Rader,TE,14,0.24,TEN,IND,7
Mason Kinsey,WR,13,0.22,TEN,IND,7
Hassan Haskins,RB,4,0.07,TEN,IND,7
Malik Willis,QB,3,0.05,TEN,IND,7
