name,pos,snap_total,snap_percent,team,opp,week
Tom Brady,QB,81,1.0,TB,ARI,16
Mike Evans,WR,75,0.93,TB,ARI,16
Chris Godwin,WR,73,0.9,TB,ARI,16
Cade Otton,TE,68,0.84,TB,ARI,16
Leonard Fournette,RB,49,0.6,TB,ARI,16
Russell Gage,WR,43,0.53,TB,ARI,16
Rachaad White,RB,29,0.36,TB,ARI,16
Julio Jones,WR,22,0.27,TB,ARI,16
Ko Kieft,TE,14,0.17,TB,ARI,16
Kyle Rudolph,TE,11,0.14,TB,ARI,16
Cameron Brate,TE,8,0.1,TB,ARI,16
Scott Miller,WR,4,0.05,TB,ARI,16
Deven Thompkins,WR,4,0.05,TB,ARI,16
Ke'Shawn Vaughn,RB,2,0.02,TB,ARI,16
Giovani Bernard,RB,0,0.0,TB,ARI,16
