name,pos,snap_total,snap_percent,team,opp,week
Garrett Wilson,WR,72,0.97,NYJ,BUF,14
Mike White,QB,67,0.91,NYJ,BUF,14
Elijah Moore,WR,61,0.83,NYJ,BUF,14
Tyler Conklin,TE,53,0.72,NYJ,BUF,14
Denzel Mims,WR,51,0.69,NYJ,BUF,14
Michael Carter,RB,37,0.5,NYJ,BUF,14
Zonovan Knight,RB,35,0.47,NYJ,BUF,14
CJ Uzomah,TE,34,0.46,NYJ,BUF,14
Braxton Berrios,WR,17,0.23,NYJ,BUF,14
Corey Davis,WR,9,0.12,NYJ,BUF,14
Joe Flacco,QB,7,0.09,NYJ,BUF,14
Kenny Yeboah,TE,0,0.0,NYJ,BUF,14
Ty Johnson,RB,0,0.0,NYJ,BUF,14
Jeremy Ruckert,TE,0,0.0,NYJ,BUF,14
