name,pos,snap_total,snap_percent,team,opp,week
Brett Rypien,QB,69,1.0,DEN,ARI,15
Jerry Jeudy,WR,51,0.74,DEN,ARI,15
Greg Dulcich,TE,47,0.68,DEN,ARI,15
Latavius Murray,RB,44,0.64,DEN,ARI,15
Eric Saubert,TE,41,0.59,DEN,ARI,15
Brandon Johnson,WR,41,0.59,DEN,ARI,15
Freddie Swain,WR,38,0.55,DEN,ARI,15
Eric Tomlinson,TE,35,0.51,DEN,ARI,15
Andrew Beck,TE,21,0.3,DEN,ARI,15
Marlon Mack,RB,20,0.29,DEN,ARI,15
Devine Ozigbo,RB,5,0.07,DEN,ARI,15
Jalen Virgil,WR,1,0.01,DEN,ARI,15
Montrell Washington,WR,1,0.01,DEN,ARI,15
