name,pos,snap_total,snap_percent,team,opp,week
Trevor Lawrence,QB,75,0.99,JAX,LAC,3
Christian Kirk,WR,70,0.92,JAX,LAC,3
Zay Jones,WR,58,0.76,JAX,LAC,3
Evan Engram,TE,58,0.76,JAX,LAC,3
Marvin Jones,WR,52,0.68,JAX,LAC,3
James Robinson,RB,44,0.58,JAX,LAC,3
Chris Manhertz,TE,36,0.47,JAX,LAC,3
Travis Etienne,RB,33,0.43,JAX,LAC,3
Jamal Agnew,WR,12,0.16,JAX,LAC,3
Dan Arnold,TE,8,0.11,JAX,LAC,3
Tim Jones,WR,4,0.05,JAX,LAC,3
Jamycal Hasty,RB,3,0.04,JAX,LAC,3
Luke Farrell,TE,2,0.03,JAX,LAC,3
CJ Beathard,QB,1,0.01,JAX,LAC,3
