name,pos,snap_total,snap_percent,team,opp,week
KJ Osborn,WR,55,0.77,MIN,CHI,18
Kirk Cousins,QB,38,0.54,MIN,CHI,18
Adam Thielen,WR,37,0.52,MIN,CHI,18
Justin Jefferson,WR,36,0.51,MIN,CHI,18
Jalen Nailor,WR,33,0.46,MIN,CHI,18
Nick Mullens,QB,33,0.46,MIN,CHI,18
TJ Hockenson,TE,33,0.46,MIN,CHI,18
Irv Smith,TE,32,0.45,MIN,CHI,18
Johnny Mundt,TE,26,0.37,MIN,CHI,18
Alexander Mattison,RB,25,0.35,MIN,CHI,18
Dalvin Cook,RB,24,0.34,MIN,CHI,18
Jalen Reagor,WR,16,0.23,MIN,CHI,18
Ty Chandler,RB,12,0.17,MIN,CHI,18
Kene Nwangwu,RB,10,0.14,MIN,CHI,18
