name,pos,snap_total,snap_percent,team,opp,week
Mark Andrews,TE,54,0.89,BAL,PIT,14
Josh Oliver,TE,42,0.69,BAL,PIT,14
Tyler Huntley,QB,38,0.62,BAL,PIT,14
Demarcus Robinson,WR,37,0.61,BAL,PIT,14
Devin Duvernay,WR,35,0.57,BAL,PIT,14
JK Dobbins,RB,26,0.43,BAL,PIT,14
Anthony Brown,QB,23,0.38,BAL,PIT,14
Gus Edwards,RB,21,0.34,BAL,PIT,14
Isaiah Likely,TE,16,0.26,BAL,PIT,14
Kenyan Drake,RB,11,0.18,BAL,PIT,14
DeSean Jackson,WR,11,0.18,BAL,PIT,14
James Proche,WR,4,0.07,BAL,PIT,14
Justice Hill,RB,2,0.03,BAL,PIT,14
