name,pos,snap_total,snap_percent,team,opp,week
Marcus Mariota,QB,57,1.0,ATL,SEA,3
Drake London,WR,48,0.84,ATL,SEA,3
Parker Hesse,TE,43,0.75,ATL,SEA,3
Olamide Zaccheaus,WR,38,0.67,ATL,SEA,3
Kyle Pitts,TE,38,0.67,ATL,SEA,3
Cordarrelle Patterson,RB,35,0.61,ATL,SEA,3
Tyler Allgeier,RB,21,0.37,ATL,SEA,3
KhaDarel Hodge,WR,11,0.19,ATL,SEA,3
Anthony Firkser,TE,9,0.16,ATL,SEA,3
Frank Darby,WR,7,0.12,ATL,SEA,3
Jared Bernhardt,WR,7,0.12,ATL,SEA,3
Avery Williams,RB,4,0.07,ATL,SEA,3
Feleipe Franks,QB,1,0.02,ATL,SEA,3
