name,pos,snap_total,snap_percent,team,opp,week
Marquise Brown,WR,62,0.95,ARI,KC,1
Greg Dortch,WR,59,0.91,ARI,KC,1
Kyler Murray,QB,57,0.88,ARI,KC,1
AJ Green,WR,48,0.74,ARI,KC,1
James Conner,RB,47,0.72,ARI,KC,1
Zach Ertz,TE,39,0.6,ARI,KC,1
Eno Benjamin,RB,22,0.34,ARI,KC,1
Andy Isabella,WR,21,0.32,ARI,KC,1
Maxx Williams,TE,10,0.15,ARI,KC,1
Stephen Anderson,TE,9,0.14,ARI,KC,1
Andre Baccellia,WR,8,0.12,ARI,KC,1
Trace McSorley,QB,8,0.12,ARI,KC,1
Darrel Williams,RB,0,0.0,ARI,KC,1
Jonathan Ward,RB,0,0.0,ARI,KC,1
