name,pos,snap_total,snap_percent,team,opp,week
Allen Lazard,WR,71,0.97,GB,NYJ,6
Romeo Doubs,WR,70,0.96,GB,NYJ,6
Aaron Rodgers,QB,69,0.95,GB,NYJ,6
Robert Tonyan,TE,46,0.63,GB,NYJ,6
Aaron Jones,RB,41,0.56,GB,NYJ,6
AJ Dillon,RB,36,0.49,GB,NYJ,6
Marcedes Lewis,TE,27,0.37,GB,NYJ,6
Randall Cobb,WR,26,0.36,GB,NYJ,6
Amari Rodgers,WR,24,0.33,GB,NYJ,6
Juwann Winfree,WR,13,0.18,GB,NYJ,6
Tyler Davis,TE,5,0.07,GB,NYJ,6
Josiah Deguara,TE,5,0.07,GB,NYJ,6
Jordan Love,QB,4,0.05,GB,NYJ,6
Patrick Taylor,RB,1,0.01,GB,NYJ,6
