name,pos,snap_total,snap_percent,team,opp,week
Marcus Mariota,QB,61,1.0,ATL,LAC,9
Drake London,WR,46,0.75,ATL,LAC,9
Olamide Zaccheaus,WR,43,0.7,ATL,LAC,9
Kyle Pitts,TE,42,0.69,ATL,LAC,9
Parker Hesse,TE,29,0.48,ATL,LAC,9
Damiere Byrd,WR,29,0.48,ATL,LAC,9
Cordarrelle Patterson,RB,24,0.39,ATL,LAC,9
Tyler Allgeier,RB,23,0.38,ATL,LAC,9
MyCole Pruitt,TE,18,0.3,ATL,LAC,9
KhaDarel Hodge,WR,16,0.26,ATL,LAC,9
Caleb Huntley,RB,13,0.21,ATL,LAC,9
Feleipe Franks,TE,4,0.07,ATL,LAC,9
Avery Williams,RB,3,0.05,ATL,LAC,9
