name,pos,snap_total,snap_percent,team,opp,week
Tua Tagovailoa,QB,59,1.0,MIA,BUF,15
Tyreek Hill,WR,49,0.83,MIA,BUF,15
Raheem Mostert,RB,45,0.76,MIA,BUF,15
Jaylen Waddle,WR,41,0.69,MIA,BUF,15
Durham Smythe,TE,38,0.64,MIA,BUF,15
Trent Sherfield,WR,32,0.54,MIA,BUF,15
Salvon Ahmed,RB,14,0.24,MIA,BUF,15
Cedrick Wilson,WR,13,0.22,MIA,BUF,15
Braylon Sanders,WR,13,0.22,MIA,BUF,15
Mike Gesicki,TE,12,0.2,MIA,BUF,15
Hunter Long,TE,6,0.1,MIA,BUF,15
Myles Gaskin,RB,0,0.0,MIA,BUF,15
Tanner Conner,WR,0,0.0,MIA,BUF,15
