name,pos,snap_total,snap_percent,team,opp,week
Cole Kmet,TE,60,0.95,CHI,BUF,16
Justin Fields,QB,58,0.92,CHI,BUF,16
Byron Pringle,WR,54,0.86,CHI,BUF,16
Dante Pettis,WR,46,0.73,CHI,BUF,16
David Montgomery,RB,42,0.67,CHI,BUF,16
Velus Jones,WR,29,0.46,CHI,BUF,16
N'Keal Harry,WR,28,0.44,CHI,BUF,16
Khalil Herbert,RB,26,0.41,CHI,BUF,16
Ryan Griffin,TE,17,0.27,CHI,BUF,16
Nathan Peterman,QB,5,0.08,CHI,BUF,16
Chase Allen,TE,2,0.03,CHI,BUF,16
Trestan Ebner,RB,0,0.0,CHI,BUF,16
Darrynton Evans,RB,0,0.0,CHI,BUF,16
Nsimba Webster,WR,0,0.0,CHI,BUF,16
