name,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles,fumbles_lost,opp,home,score,opp_score,winner,spread,total,week,pos,fpts
Joshua Dobbs,ARI,21,30,132,0,0,3,18,31,78.7,3,-3,0,1,0,0,0,0,0,3,2,WAS,0,16,20,0,-4,36,1,QB,2.9800000000000004
James Conner,ARI,0,0,0,0,0,0,0,0,0.0,14,62,0,12,5,5,8,0,11,0,0,WAS,0,16,20,0,-4,36,1,RB,12.0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,0.0,1,29,0,29,5,3,28,0,11,0,0,WAS,0,16,20,0,-4,36,1,WR,8.700000000000001
Rondale Moore,ARI,0,0,0,0,0,0,0,0,0.0,2,12,0,8,3,3,33,0,31,0,0,WAS,0,16,20,0,-4,36,1,WR,7.5
Trey McBride,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,23,0,13,0,0,WAS,0,16,20,0,-4,36,1,TE,4.300000000000001
Zach Ertz,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,6,21,0,6,0,0,WAS,0,16,20,0,-4,36,1,TE,8.1
Michael Wilson,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,19,0,15,0,0,WAS,0,16,20,0,-4,36,1,WR,3.9
Zach Pascal,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,WAS,0,16,20,0,-4,36,1,WR,0.0
Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,0.0,5,-4,0,6,0,0,0,0,0,0,0,WAS,0,16,20,0,-4,36,1,RB,-0.4
Sam Howell,WAS,19,31,202,1,1,6,46,32,77.6,2,11,1,6,0,0,0,0,0,1,1,ARI,1,20,16,1,4,36,1,QB,17.18
Brian Robinson,WAS,0,0,0,0,0,0,0,0,0.0,19,59,0,7,2,1,7,1,7,0,0,ARI,1,20,16,1,4,36,1,RB,13.6
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,0.0,3,9,0,3,1,1,10,0,10,1,1,ARI,1,20,16,1,4,36,1,RB,1.9
Chris Rodriguez,WAS,0,0,0,0,0,0,0,0,0.0,3,7,0,3,0,0,0,0,0,0,0,ARI,1,20,16,1,4,36,1,RB,0.7000000000000001
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,0.0,1,6,0,6,5,5,54,0,32,0,0,ARI,1,20,16,1,4,36,1,WR,11.0
Logan Thomas,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,4,43,0,19,0,0,ARI,1,20,16,1,4,36,1,TE,8.3
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,5,40,0,14,0,0,ARI,1,20,16,1,4,36,1,WR,9.0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,31,0,19,0,0,ARI,1,20,16,1,4,36,1,WR,5.1
Cole Turner,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,17,0,17,0,0,ARI,1,20,16,1,4,36,1,TE,2.7
Jimmy Garoppolo,LV,20,26,200,2,1,0,0,21,107.9,9,11,0,8,0,0,0,0,0,1,0,DEN,0,17,16,1,1,33,1,QB,16.1
Josh Jacobs,LV,0,0,0,0,0,0,0,0,0.0,19,48,0,7,3,2,23,0,19,0,0,DEN,0,17,16,1,1,33,1,RB,9.1
Zamir White,LV,0,0,0,0,0,0,0,0,0.0,1,2,0,2,1,1,5,0,5,0,0,DEN,0,17,16,1,1,33,1,RB,1.7
Jakobi Meyers,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,9,81,2,21,0,0,DEN,0,17,16,1,1,33,1,WR,29.1
Davante Adams,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,6,66,0,18,0,0,DEN,0,17,16,1,1,33,1,WR,12.6
Austin Hooper,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,20,0,20,0,0,DEN,0,17,16,1,1,33,1,TE,3.0
