name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Nico Collins,WR,HOU,9,7,146,1,6.0,92,13.1,54,7.7,12.4,1,7.0,0,0.0,0,155.8,2
Tank Dell,WR,HOU,10,7,72,1,2.0,52,7.4,20,2.9,9.5,0,0.0,0,0.0,0,123.7,2
Robert Woods,WR,HOU,9,6,74,0,4.0,57,9.5,17,2.8,10.9,0,0.0,0,0.0,0,91.9,2
Dalton Schultz,TE,HOU,7,4,34,0,2.0,20,5.0,14,3.5,7.4,0,0.0,1,0.14,0,69.9,2
Brevin Jordan,TE,HOU,2,2,27,0,2.0,23,11.5,4,2.0,11.5,0,0.0,0,0.0,0,118.7,2
Dameon Pierce,RB,HOU,3,2,4,0,0.0,-3,-1.5,7,3.5,0.3,0,0.0,0,0.0,0,70.1,2
John Metchie,WR,HOU,1,1,17,0,1.0,15,15.0,2,2.0,15.0,0,0.0,0,0.0,0,118.7,2
Devin Singletary,RB,HOU,1,1,10,0,1.0,5,5.0,5,5.0,5.0,0,0.0,0,0.0,0,108.3,2
Xavier Hutchinson,WR,HOU,1,0,0,0,0.0,0,0.0,0,0.0,13.0,0,0.0,0,0.0,0,39.6,2
