name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating
Garrett Wilson,WR,NYJ,5,5,34,1,3.0,31,6.2,3,0.6,6.2,0,0.0,0,0.0,0,134.6
Dalvin Cook,RB,NYJ,3,3,26,0,1.0,-5,-1.7,31,10.3,-1.7,0,0.0,0,0.0,0,102.8
Michael Carter,RB,NYJ,2,2,12,0,0.0,5,2.5,7,3.5,2.5,0,0.0,0,0.0,0,91.7
Allen Lazard,WR,NYJ,4,2,46,0,2.0,23,11.5,23,11.5,9.3,1,2.0,0,0.0,0,91.7
Tyler Conklin,TE,NYJ,1,1,2,0,0.0,-2,-2.0,4,4.0,-2.0,0,0.0,0,0.0,0,79.2
Breece Hall,RB,NYJ,2,1,20,0,1.0,-4,-4.0,24,24.0,-0.5,0,0.0,0,0.0,0,85.4
Randall Cobb,WR,NYJ,1,0,0,0,0.0,0,0.0,0,0.0,10.0,0,0.0,0,0.0,1,0.0
