name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Bijan Robinson,RB,ATL,6,6,27,1,2.0,-24,-4.0,51,8.5,-4.0,4,1.5,0,0.0,0,125.0,1
Tyler Allgeier,RB,ATL,3,3,19,0,1.0,3,1.0,16,5.3,1.0,0,0.0,0,0.0,0,93.1,1
Mack Hollins,WR,ATL,4,3,31,0,1.0,30,10.0,1,0.3,8.0,0,0.0,0,0.0,0,96.9,1
Kyle Pitts,TE,ATL,3,2,44,0,2.0,37,18.5,7,3.5,17.3,0,0.0,0,0.0,0,109.7,1
Desmond Ridder,QB,ATL,1,1,-6,0,0.0,-6,-6.0,0,0.0,-6.0,0,0.0,0,0.0,0,79.2,1
Drake London,WR,ATL,1,0,0,0,0.0,0,0.0,0,0.0,6.0,0,0.0,1,1.0,0,39.6,1
