name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Adam Trautman,TE,DEN,5,5,34,0,1.0,18,3.6,16,3.2,3.6,0,0.0,0,0.0,0,95.0,1
Javonte Williams,RB,DEN,6,4,5,0,0.0,-9,-2.3,14,3.5,-1.5,0,0.0,0,0.0,0,70.1,1
Courtland Sutton,WR,DEN,5,4,32,1,2.0,28,7.0,4,1.0,7.6,0,0.0,0,0.0,0,132.9,1
Samaje Perine,RB,DEN,4,4,37,0,2.0,4,1.0,33,8.3,1.0,1,4.0,0,0.0,0,105.2,1
Marvin Mims,WR,DEN,2,2,9,0,1.0,3,1.5,6,3.0,1.5,0,0.0,0,0.0,0,85.4,1
Brandon Johnson,WR,DEN,3,2,31,0,1.0,31,15.5,0,0.0,11.0,0,0.0,0,0.0,0,100.7,1
Lil'Jordan Humphrey,WR,DEN,2,2,11,1,1.0,9,4.5,2,1.0,4.5,0,0.0,0,0.0,0,129.2,1
Greg Dulcich,TE,DEN,2,2,22,0,2.0,19,9.5,3,1.5,9.5,0,0.0,0,0.0,0,112.5,1
Jaleel McLaughlin,RB,DEN,1,1,-7,0,0.0,-7,-7.0,0,0.0,-7.0,0,0.0,0,0.0,0,79.2,1
Michael Burton,RB,DEN,1,1,3,0,1.0,3,3.0,0,0.0,3.0,0,0.0,0,0.0,0,79.2,1
Phillip Dorsett,WR,DEN,1,0,0,0,0.0,0,0.0,0,0.0,21.0,0,0.0,0,0.0,0,39.6,1
