name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating
Deebo Samuel,WR,SF,9,6,63,0,3.0,11,1.8,52,8.7,6.1,1,6.0,0,0.0,0,86.8
Brandon Aiyuk,WR,SF,6,3,43,0,3.0,37,12.3,6,2.0,13.5,0,0.0,1,0.16,0,73.6
George Kittle,TE,SF,3,3,30,0,3.0,17,5.7,13,4.3,5.7,0,0.0,0,0.0,0,108.3
Christian McCaffrey,RB,SF,3,3,19,0,0.0,1,0.3,18,6.0,0.3,0,0.0,0,0.0,0,93.1
Jauan Jennings,WR,SF,3,2,51,0,2.0,47,23.5,4,2.0,23.7,0,0.0,0,0.0,0,109.7
