name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating
Isiah Pacheco,RB,KC,4,4,31,0,1.0,-15,-3.8,46,11.5,-3.8,3,1.3,0,0.0,0,99.0
Rashee Rice,WR,KC,5,3,29,1,2.0,14,4.7,15,5.0,7.6,0,0.0,1,0.2,0,115.8
Noah Gray,TE,KC,5,3,31,0,1.0,9,3.0,22,7.3,7.2,2,1.5,0,0.0,0,77.9
Blake Bell,TE,KC,3,2,12,1,1.0,4,2.0,8,4.0,4.3,0,0.0,0,0.0,0,113.9
Marquez Valdes-Scantling,WR,KC,2,2,48,0,2.0,46,23.0,2,1.0,23.0,0,0.0,0,0.0,0,118.7
Justin Watson,WR,KC,4,2,45,0,2.0,41,20.5,4,2.0,25.5,0,0.0,0,0.0,0,90.6
Jerick McKinnon,RB,KC,2,1,10,0,1.0,6,6.0,4,4.0,2.5,0,0.0,1,0.5,0,64.6
Richie James,WR,KC,2,1,6,0,0.0,5,5.0,1,1.0,21.5,0,0.0,0,0.0,0,56.2
Justyn Ross,WR,KC,1,1,6,0,0.0,6,6.0,0,0.0,6.0,0,0.0,0,0.0,0,91.7
Kadarius Toney,WR,KC,5,1,1,0,0.0,-3,-3.0,4,4.0,8.2,0,0.0,3,0.6,1,0.0
Clyde Edwards-Helaire,RB,KC,1,1,7,0,0.0,0,0.0,7,7.0,0.0,1,1.0,0,0.0,0,95.8
Skyy Moore,WR,KC,3,0,0,0,0.0,0,0.0,0,0.0,9.3,0,0.0,0,0.0,0,39.6
