name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating
Saquon Barkley,RB,NYG,7,6,29,1,2.0,1,0.2,28,4.7,0.9,1,6.0,1,0.14,1,83.9
Darren Waller,TE,NYG,8,6,76,0,4.0,53,8.8,23,3.8,9.5,0,0.0,0,0.0,0,104.2
Parris Campbell,WR,NYG,6,4,21,0,0.0,11,2.8,10,2.5,3.7,0,0.0,0,0.0,0,72.2
Isaiah Hodgins,WR,NYG,5,4,40,1,3.0,26,6.5,14,3.5,6.4,0,0.0,0,0.0,0,139.6
Darius Slayton,WR,NYG,6,3,62,0,3.0,47,15.7,15,5.0,22.0,0,0.0,0,0.0,0,86.8
Jalin Hyatt,WR,NYG,2,2,89,0,2.0,76,38.0,13,6.5,38.0,0,0.0,0,0.0,0,118.7
Sterling Shepard,WR,NYG,1,1,4,0,1.0,4,4.0,0,0.0,4.0,0,0.0,0,0.0,0,83.3
