name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating
Chris Olave,WR,NO,10,8,112,0,6.0,48,6.0,64,8.0,12.9,0,0.0,0,0.0,0,113.3
Rashid Shaheed,WR,NO,6,5,89,1,3.0,84,16.8,5,1.0,16.3,0,0.0,0,0.0,0,158.3
Michael Thomas,WR,NO,8,5,61,0,2.0,58,11.6,3,0.6,9.8,0,0.0,0,0.0,0,85.9
Juwan Johnson,TE,NO,5,3,36,0,1.0,17,5.7,19,6.3,9.0,0,0.0,0,0.0,1,42.5
Jamaal Williams,RB,NO,2,2,7,0,0.0,-5,-2.5,12,6.0,-2.5,0,0.0,0,0.0,0,81.2
Taysom Hill,QB,NO,1,0,0,0,0.0,0,0.0,0,0.0,14.0,0,0.0,0,0.0,0,39.6
Keith Kirkwood,WR,NO,1,0,0,0,0.0,0,0.0,0,0.0,19.0,0,0.0,0,0.0,0,39.6
