name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
DeAndre Hopkins,WR,TEN,13,7,65,0,3.0,60,8.6,5,0.7,10.0,0,0.0,1,0.07,2,28.2,1
Nick Westbrook-Ikhine,WR,TEN,7,4,58,0,3.0,12,3.0,46,11.5,5.0,0,0.0,0,0.0,0,84.2,1
Treylon Burks,WR,TEN,3,2,18,0,1.0,12,6.0,6,3.0,8.0,0,0.0,1,0.33,0,82.6,1
Derrick Henry,RB,TEN,3,2,56,0,1.0,-10,-5.0,66,33.0,-5.7,0,0.0,0,0.0,0,109.7,1
Tyjae Spears,RB,TEN,4,1,1,0,0.0,0,0.0,1,1.0,11.3,0,0.0,1,0.25,0,39.6,1
Chris Moore,WR,TEN,1,0,0,0,0.0,0,0.0,0,0.0,46.0,0,0.0,0,0.0,1,0.0,1
Chigoziem Okonkwo,TE,TEN,2,0,0,0,0.0,0,0.0,0,0.0,17.0,0,0.0,0,0.0,0,39.6,1
